CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
13510,0.028,NA,NA,NA
13526,0.292,NA,NA,NA
13531,0.178,NA,NA,NA
13538,0.572,MTG_NUM_SQUARE <,MTG_NUM_INVERSE >,MTG_NUM <
13558,0.066,NA,NA,NA
13572,0.066,NA,NA,NA
13594,0.102,NA,NA,NA
13605,0.146,NA,NA,NA
13611,0.206,NA,NA,NA
13619,0.366,RR <,INV_MONTH10 <,INV_MONTH6 >
13628,0.342,INV_SEG_21 >,INV_SEG_32 >,MTG_NUM_SQUARE >
13641,0.258,NA,NA,NA
13669,0.238,NA,NA,NA
13672,0.048,NA,NA,NA
13684,0.052,NA,NA,NA
13724,0.112,NA,NA,NA
13730,0.028,NA,NA,NA
13758,0.224,NA,NA,NA
13771,0.034,NA,NA,NA
13805,0.144,NA,NA,NA
13823,0.43,INV_SEG_32 >,INV_MONTH7 >,RR <
13843,0.202,NA,NA,NA
13861,0.758,INV_SEG1 <,INV_MONTH6 >,INV_MONTH10 <
13869,0.042,NA,NA,NA
13875,0.94,INV_MONTH4 <,INV_MONTH7 >,INV_SEG_32 >
13953,0.512,MTG_NUM_SQUARE <,MTG_NUM <,MTG_NUM_INVERSE >
13957,0.256,NA,NA,NA
13993,0.252,NA,NA,NA
14012,0.054,NA,NA,NA
14015,0.214,NA,NA,NA
14063,0.092,NA,NA,NA
14115,0.158,NA,NA,NA
14116,0.85,INV_MONTH7 >,INV_MONTH4 <,INV_SEG2 <
14121,0.074,NA,NA,NA
14143,0.066,NA,NA,NA
14149,0.612,INV_MONTH10 <,INV_SEG1 <,INV_MONTH12 <
14193,0.582,RR <,INV_MONTH11 <,INV_MONTH12 >
14200,0.018,NA,NA,NA
14247,0.106,NA,NA,NA
14264,0.19,NA,NA,NA
14467,0.45,INV_MONTH12 <,INV_MONTH1 <,MTG_NUM <
14266,0.326,MTG_NUM_SQUARE <,MTG_NUM <,INV_SEG1 >
14278,0.166,NA,NA,NA
14341,0.138,NA,NA,NA
14347,0.41,RR <,STD_RR <,INV_SEG_32 <
14353,0.058,NA,NA,NA
14429,0.438,AVG_BAL <,DIV <,MTG_NUM_INVERSE >
14460,0.158,NA,NA,NA
