CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
12094,0.108,NA,NA,NA
12111,0.334,NA,NA,NA
12128,0.214,NA,NA,NA
12140,0.298,NA,NA,NA
12148,0.168,NA,NA,NA
12172,0.284,NA,NA,NA
12225,0.272,NA,NA,NA
12247,0.17,NA,NA,NA
12248,0.342,INV_SEG_21 >,STD_INV >,INV_MONTH7 >
12272,0.082,NA,NA,NA
12317,0.136,NA,NA,NA
12354,0.304,NA,NA,NA
12439,0.194,NA,NA,NA
12460,0.1,NA,NA,NA
12487,0.104,NA,NA,NA
12526,0.324,NA,NA,NA
12547,0.106,NA,NA,NA
12569,0.068,NA,NA,NA
12594,0.486,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH6 <
12607,0.134,NA,NA,NA
12610,0.168,NA,NA,NA
12620,0.094,NA,NA,NA
12622,0.464,INV_SEG_32 <,INV_SEG_21 >,END_BAL >
12653,0,NA,NA,NA
12654,0.348,INV_SEG_32 <,INV_MONTH11 >,INV_MONTH3 >
12670,0.318,NA,NA,NA
12707,0.222,NA,NA,NA
12728,0.316,NA,NA,NA
12834,0.2,NA,NA,NA
12878,0.176,NA,NA,NA
12912,0.43,INV_MONTH7 <,INV_SEG_32 <,AGE <
12926,0.016,NA,NA,NA
12975,0.156,NA,NA,NA
12995,0.21,NA,NA,NA
13005,0.158,NA,NA,NA
13010,0.41,INV_MONTH7 <,INV_SEG_32 >,INV_MONTH6 >
13162,0.322,NA,NA,NA
13055,0.298,NA,NA,NA
13063,0.22,NA,NA,NA
13078,0.33,NA,NA,NA
13112,0.37,INV_SEG_32 <,INV_MONTH7 >,AGE >
13122,0.368,INV_SEG_32 >,INV_STD_SQUARE >,INV_SEG_21 <
13135,0.146,NA,NA,NA
13177,0.008,NA,NA,NA
13205,0.294,NA,NA,NA
13210,0.518,INV_MONTH7 <,INV_SEG_21 >,STD_INV >
13254,0.192,NA,NA,NA
13332,0.204,NA,NA,NA
13334,0.094,NA,NA,NA
13356,0.35,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH4 >
13372,0.164,NA,NA,NA
13510,0.22,NA,NA,NA
13526,0.28,NA,NA,NA
13531,0.032,NA,NA,NA
13538,0,NA,NA,NA
13558,0.422,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH12 >
13572,0.206,NA,NA,NA
13594,0.196,NA,NA,NA
13605,0.11,NA,NA,NA
13611,0.188,NA,NA,NA
13619,0.364,INV_MONTH7 <,INV_MONTH6 >,INV_MONTH5 <
13628,0.366,INV_MONTH7 <,INV_SEG_32 >,INV_STD_SQUARE >
13641,0.006,NA,NA,NA
13669,0.342,INV_MONTH7 <,STD_INV >,INV_MONTH5 <
13672,0.156,NA,NA,NA
13684,0.09,NA,NA,NA
13724,0.706,INV_SEG_32 <,INV_MONTH7 >,STD_INV >
13730,0.216,NA,NA,NA
13758,0.38,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH6 <
13771,0.214,NA,NA,NA
13805,0.256,NA,NA,NA
13823,0.16,NA,NA,NA
13843,0.276,NA,NA,NA
13861,0.154,NA,NA,NA
13869,0.084,NA,NA,NA
13875,0.088,NA,NA,NA
13953,0.394,STD_INV >,INV_SEG_32 >,INV_STD_SQUARE >
13957,0.17,NA,NA,NA
13993,0.334,NA,NA,NA
14012,0.37,INV_MONTH7 <,INV_SEG_21 >,INV_SEG_32 >
14015,0.348,INV_SEG_32 <,INV_MONTH6 <,AVG_BAL <
14063,0.352,INV_SEG_32 <,AVG_BAL >,INV_MONTH7 >
14115,0.596,INV_SEG_32 <,INV_STD_SQUARE >,INV_MONTH7 <
14116,0.014,NA,NA,NA
14121,0.098,NA,NA,NA
14143,0.242,NA,NA,NA
14149,0.158,NA,NA,NA
14193,0.178,NA,NA,NA
14200,0.08,NA,NA,NA
14247,0.216,NA,NA,NA
14264,0.506,INV_SEG_32 <,INV_SEG_21 <,INV_MONTH12 >
14467,0.302,NA,NA,NA
14266,0.526,INV_MONTH7 <,STD_INV >,INV_STD_SQUARE >
14278,0.478,INV_SEG_32 <,INV_SEG_21 >,INV_MONTH7 <
14341,0.202,NA,NA,NA
14347,0.246,NA,NA,NA
14353,0.128,NA,NA,NA
14429,0.242,NA,NA,NA
14460,0.328,NA,NA,NA
14487,0.162,NA,NA,NA
14517,0.002,NA,NA,NA
14520,0.178,NA,NA,NA
14534,0.256,NA,NA,NA
14564,0.162,NA,NA,NA
14617,0.172,NA,NA,NA
14621,0.314,NA,NA,NA
14628,0.384,INV_SEG_32 <,INV_MONTH9 >,INV >
14659,0.26,NA,NA,NA
14688,0.296,NA,NA,NA
14706,0.056,NA,NA,NA
14734,0.226,NA,NA,NA
14765,0.336,NA,NA,NA
14769,0,NA,NA,NA
14785,0.19,NA,NA,NA
14840,0,NA,NA,NA
14865,0.01,NA,NA,NA
14934,0.13,NA,NA,NA
14939,0.26,NA,NA,NA
14947,0.206,NA,NA,NA
14974,0.216,NA,NA,NA
14981,0.296,NA,NA,NA
15022,0.072,NA,NA,NA
15043,0.414,MAJOR_CHANNEL.MISSING >,INV_MONTH7 >,STD_INV >
15530,0.226,NA,NA,NA
15080,0.106,NA,NA,NA
15102,0.306,NA,NA,NA
15110,0.136,NA,NA,NA
15152,0.094,NA,NA,NA
15262,0.096,NA,NA,NA
15300,0,NA,NA,NA
15308,0.086,NA,NA,NA
15433,0.062,NA,NA,NA
15456,0.2,NA,NA,NA
15534,0.146,NA,NA,NA
15555,0.134,NA,NA,NA
15612,0.41,INV_SEG_32 <,INV_MONTH7 <,DIV >
15613,0.374,INV_SEG_32 >,INV_MONTH7 <,INV_MONTH5 >
15706,0.002,NA,NA,NA
15713,0.036,NA,NA,NA
15737,0.422,INV_MONTH7 <,STD_INV >,INV_STD_SQUARE >
15764,0.414,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH4 <
15780,0.226,NA,NA,NA
15806,0.152,NA,NA,NA
15825,0.134,NA,NA,NA
15838,0.002,NA,NA,NA
15898,0.16,NA,NA,NA
15918,0.18,NA,NA,NA
15946,0.428,INV_SEG_32 <,INV_MONTH7 <,INV_SEG1 >
15965,0.1,NA,NA,NA
15974,0.272,NA,NA,NA
16038,0.186,NA,NA,NA
16072,0.356,INV_MONTH7 <,WITHDRAW_AMOUNT >,INV_SEG_32 <
16131,0.23,NA,NA,NA
16137,0.076,NA,NA,NA
16146,0.706,INV_MONTH7 <,INV_SEG1 >,INV_SEG_32 <
16162,0.114,NA,NA,NA
16218,0.206,NA,NA,NA
16223,0.216,NA,NA,NA
16231,0.488,INV_SEG_32 <,INV_MONTH7 <,AVG_BAL <
16265,0.196,NA,NA,NA
16278,0.118,NA,NA,NA
16279,0.266,NA,NA,NA
16292,0.206,NA,NA,NA
16663,0.218,NA,NA,NA
16325,0.008,NA,NA,NA
16342,0.318,NA,NA,NA
16347,0.146,NA,NA,NA
16366,0.342,INV_MONTH7 <,END_BAL <,INV_MONTH10 >
16367,0.182,NA,NA,NA
16380,0.226,NA,NA,NA
16402,0.082,NA,NA,NA
16443,0.16,NA,NA,NA
16481,0.182,NA,NA,NA
16485,0.132,NA,NA,NA
16513,0.19,NA,NA,NA
16539,0.368,INV_MONTH7 <,AVG_BAL <,INV_MONTH6 <
16546,0.242,NA,NA,NA
16597,0.164,NA,NA,NA
16653,0.244,NA,NA,NA
16661,0.136,NA,NA,NA
16666,0.09,NA,NA,NA
16722,0.244,NA,NA,NA
16756,0.054,NA,NA,NA
16823,0.406,INV_MONTH7 <,INV_MONTH6 <,INV_MONTH4 >
16827,0.45,INV_MONTH7 <,INV_MONTH6 <,INV_MONTH5 >
16833,0.19,NA,NA,NA
16844,0.2,NA,NA,NA
17562,0.238,NA,NA,NA
16867,0.314,NA,NA,NA
16887,0.308,NA,NA,NA
16892,0.182,NA,NA,NA
16894,0.084,NA,NA,NA
16918,0.482,INV_STD_SQUARE >,INV_MONTH7 <,STD_INV >
16927,0.536,INV_SEG_32 <,INV_MONTH7 <,RR >
16940,0.284,NA,NA,NA
17076,0.602,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH6 <
17168,0.072,NA,NA,NA
17178,0.294,NA,NA,NA
17216,0.164,NA,NA,NA
17263,0,NA,NA,NA
17275,0.288,NA,NA,NA
17282,0.348,INV_SEG_32 <,STD_INV >,INV_STD_SQUARE >
17574,0.09,NA,NA,NA
17360,0.53,INV_MONTH7 <,INV_SEG_32 <,DIV >
17362,0.274,NA,NA,NA
17385,0.198,NA,NA,NA
17413,0.5,INV_MONTH7 <,INV_MONTH6 <,STD_INV >
17475,0.176,NA,NA,NA
17497,0.19,NA,NA,NA
17523,0.112,NA,NA,NA
